<'body system', 'issue in', 'biomedical occupation or discipline'>
<'disease or syndrome', 'affects', 'rickettsia or chlamydia'>
<'neuroreactive substance or biogenic amine', 'isa', 'physical object'>
<'organism attribute', 'property of', 'mammal'>
<'biologically active substance', 'affects', 'genetic function'>
<'acquired abnormality', 'part of', 'reptile'>
<'cell', 'location of', 'physiologic function'>
<'biologically active substance', 'complicates', 'experimental model of disease'>
<'professional society', 'location of', 'health care activity'>
<'individual behavior', 'associated with', 'congenital abnormality'>
<'laboratory procedure', 'analyzes', 'hormone'>
<'quantitative concept', 'measurement of', 'organ or tissue function'>
<'molecular biology research technique', 'issue in', 'occupation or discipline'>
<'anatomical abnormality', 'manifestation of', 'physiologic function'>
<'cell function', 'affects', 'cell or molecular dysfunction'>
<'group', 'produces', 'drug delivery device'>
<'tissue', 'location of', 'pathologic function'>
<'sign or symptom', 'evaluation of', 'molecular function'>
<'organophosphorus compound', 'causes', 'mental or behavioral dysfunction'>
<'organ or tissue function', 'process of', 'pathologic function'>
<'finding', 'evaluation of', 'physiologic function'>
<'cell function', 'affects', 'natural phenomenon or process'>
<'gene or genome', 'location of', 'anatomical abnormality'>
<'laboratory procedure', 'measures', 'cell or molecular dysfunction'>
<'occupational activity', 'associated with', 'experimental model of disease'>
<'nucleotide sequence', 'property of', 'gene or genome'>
<'mental process', 'isa', 'physiologic function'>
<'body location or region', 'location of', 'body part organ or organ component'>
<'laboratory procedure', 'measures', 'natural phenomenon or process'>
<'age group', 'performs', 'activity'>
<'research activity', 'measures', 'chemical viewed structurally'>
<'biomedical or dental material', 'interacts with', 'hazardous or poisonous substance'>
<'laboratory or test result', 'indicates', 'organ or tissue function'>
<'mental or behavioral dysfunction', 'result of', 'neoplastic process'>
<'food', 'affects', 'physiologic function'>
<'food', 'issue in', 'occupation or discipline'>
<'human caused phenomenon or process', 'result of', 'cell function'>
<'social behavior', 'associated with', 'occupation or discipline'>
<'sign or symptom', 'manifestation of', 'cell or molecular dysfunction'>
<'cell or molecular dysfunction', 'occurs in', 'disease or syndrome'>
<'diagnostic procedure', 'assesses effect of', 'antibiotic'>
<'tissue', 'location of', 'therapeutic or preventive procedure'>
<'group', 'isa', 'entity'>
<'injury or poisoning', 'occurs in', 'group'>
<'professional or occupational group', 'produces', 'regulation or law'>
<'hazardous or poisonous substance', 'issue in', 'biomedical occupation or discipline'>
<'diagnostic procedure', 'affects', 'organ or tissue function'>
<'disease or syndrome', 'process of', 'pathologic function'>
<'body location or region', 'location of', 'injury or poisoning'>
<'laboratory or test result', 'manifestation of', 'cell or molecular dysfunction'>
<'physiologic function', 'produces', 'enzyme'>
<'body part organ or organ component', 'adjacent to', 'body space or junction'>
<'organophosphorus compound', 'affects', 'experimental model of disease'>
<'disease or syndrome', 'result of', 'environmental effect of humans'>
<'neuroreactive substance or biogenic amine', 'complicates', 'cell function'>
<'laboratory procedure', 'measures', 'hazardous or poisonous substance'>
<'clinical attribute', 'measurement of', 'molecular function'>
<'laboratory procedure', 'assesses effect of', 'vitamin'>
<'laboratory procedure', 'affects', 'mental process'>
<'cell function', 'result of', 'molecular function'>
<'laboratory procedure', 'analyzes', 'steroid'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'biomedical or dental material'>
<'clinical attribute', 'property of', 'vertebrate'>
<'vitamin', 'causes', 'cell or molecular dysfunction'>
<'alga', 'isa', 'entity'>
<'machine activity', 'isa', 'activity'>
<'research activity', 'measures', 'molecular function'>
<'gene or genome', 'isa', 'physical object'>
<'organism function', 'process of', 'mental process'>
<'organ or tissue function', 'result of', 'mental or behavioral dysfunction'>
<'cell component', 'affects', 'cell function'>
<'congenital abnormality', 'affects', 'fish'>
<'enzyme', 'affects', 'experimental model of disease'>
<'laboratory or test result', 'measurement of', 'biologically active substance'>
<'acquired abnormality', 'result of', 'human caused phenomenon or process'>
<'experimental model of disease', 'result of', 'pathologic function'>
<'congenital abnormality', 'affects', 'organ or tissue function'>
<'cell', 'produces', 'lipid'>
<'laboratory procedure', 'assesses effect of', 'biologic function'>
<'diagnostic procedure', 'measures', 'biologically active substance'>
<'antibiotic', 'affects', 'mental or behavioral dysfunction'>
<'population group', 'produces', 'clinical drug'>
<'neoplastic process', 'manifestation of', 'organism function'>
<'genetic function', 'result of', 'mental or behavioral dysfunction'>
<'mental process', 'process of', 'animal'>
<'organ or tissue function', 'occurs in', 'temporal concept'>
<'finding', 'evaluation of', 'organ or tissue function'>
<'molecular biology research technique', 'measures', 'pathologic function'>
<'organism function', 'precedes', 'physiologic function'>
<'mental or behavioral dysfunction', 'process of', 'human'>
<'indicator reagent or diagnostic aid', 'causes', 'congenital abnormality'>
<'congenital abnormality', 'part of', 'human'>
<'lipid', 'interacts with', 'indicator reagent or diagnostic aid'>
<'experimental model of disease', 'result of', 'therapeutic or preventive procedure'>
<'virus', 'isa', 'organism'>
<'cell component', 'produces', 'lipid'>
<'body part organ or organ component', 'location of', 'virus'>
<'professional or occupational group', 'uses', 'regulation or law'>
<'tissue', 'part of', 'plant'>
<'element ion or isotope', 'interacts with', 'pharmacologic substance'>
<'genetic function', 'occurs in', 'temporal concept'>
<'physiologic function', 'process of', 'fish'>
<'mental or behavioral dysfunction', 'result of', 'mental process'>
<'biologic function', 'process of', 'neoplastic process'>
<'laboratory procedure', 'measures', 'nucleic acid nucleoside or nucleotide'>
<'embryonic structure', 'issue in', 'biomedical occupation or discipline'>
<'physiologic function', 'process of', 'organ or tissue function'>
<'organic chemical', 'affects', 'molecular function'>
<'laboratory procedure', 'diagnoses', 'neoplastic process'>
<'organism attribute', 'result of', 'cell function'>
<'antibiotic', 'causes', 'neoplastic process'>
<'neuroreactive substance or biogenic amine', 'interacts with', 'vitamin'>
<'enzyme', 'complicates', 'pathologic function'>
<'disease or syndrome', 'affects', 'bird'>
<'professional or occupational group', 'performs', 'diagnostic procedure'>
<'anatomical structure', 'issue in', 'occupation or discipline'>
<'social behavior', 'affects', 'individual behavior'>
<'vertebrate', 'exhibits', 'behavior'>
<'anatomical abnormality', 'part of', 'reptile'>
<'laboratory or test result', 'measurement of', 'hormone'>
<'neoplastic process', 'process of', 'archaeon'>
<'genetic function', 'affects', 'human'>
<'hazardous or poisonous substance', 'disrupts', 'cell'>
<'experimental model of disease', 'process of', 'virus'>
<'therapeutic or preventive procedure', 'complicates', 'organ or tissue function'>
<'laboratory or test result', 'indicates', 'biologic function'>
<'laboratory procedure', 'affects', 'disease or syndrome'>
<'disease or syndrome', 'complicates', 'cell or molecular dysfunction'>
<'biologic function', 'result of', 'pathologic function'>
<'chemical viewed functionally', 'affects', 'organ or tissue function'>
<'organ or tissue function', 'affects', 'plant'>
<'population group', 'performs', 'governmental or regulatory activity'>
<'disease or syndrome', 'affects', 'molecular function'>
<'diagnostic procedure', 'measures', 'hormone'>
<'patient or disabled group', 'performs', 'research activity'>
<'neuroreactive substance or biogenic amine', 'affects', 'mental or behavioral dysfunction'>
<'molecular biology research technique', 'associated with', 'neoplastic process'>
<'pathologic function', 'affects', 'experimental model of disease'>
<'organism function', 'process of', 'disease or syndrome'>
<'fungus', 'location of', 'vitamin'>
<'mental or behavioral dysfunction', 'affects', 'reptile'>
<'eicosanoid', 'causes', 'mental or behavioral dysfunction'>
<'indicator reagent or diagnostic aid', 'isa', 'chemical'>
<'genetic function', 'precedes', 'physiologic function'>
<'biologic function', 'result of', 'phenomenon or process'>
<'mental or behavioral dysfunction', 'degree of', 'pathologic function'>
<'hormone', 'complicates', 'congenital abnormality'>
<'anatomical abnormality', 'location of', 'bacterium'>
<'alga', 'interacts with', 'human'>
<'organic chemical', 'causes', 'neoplastic process'>
<'element ion or isotope', 'causes', 'acquired abnormality'>
<'organism function', 'isa', 'natural phenomenon or process'>
<'pathologic function', 'affects', 'mammal'>
<'mental or behavioral dysfunction', 'associated with', 'clinical attribute'>
<'health care related organization', 'carries out', 'governmental or regulatory activity'>
<'virus', 'causes', 'experimental model of disease'>
<'hazardous or poisonous substance', 'affects', 'cell function'>
<'cell function', 'process of', 'archaeon'>
<'antibiotic', 'disrupts', 'fully formed anatomical structure'>
<'mental process', 'affects', 'rickettsia or chlamydia'>
<'molecular sequence', 'isa', 'conceptual entity'>
<'embryonic structure', 'part of', 'invertebrate'>
<'human', 'interacts with', 'organism'>
<'chemical viewed structurally', 'isa', 'entity'>
<'age group', 'uses', 'manufactured object'>
<'injury or poisoning', 'occurs in', 'patient or disabled group'>
<'neuroreactive substance or biogenic amine', 'causes', 'neoplastic process'>
<'organophosphorus compound', 'interacts with', 'immunologic factor'>
<'laboratory or test result', 'measurement of', 'steroid'>
<'eicosanoid', 'affects', 'experimental model of disease'>
<'substance', 'issue in', 'biomedical occupation or discipline'>
<'physiologic function', 'result of', 'cell or molecular dysfunction'>
<'sign or symptom', 'issue in', 'occupation or discipline'>
<'receptor', 'disrupts', 'physiologic function'>
<'biologic function', 'affects', 'archaeon'>
<'mental or behavioral dysfunction', 'result of', 'disease or syndrome'>
<'biologic function', 'process of', 'mental process'>
<'diagnostic procedure', 'measures', 'steroid'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'embryonic structure'>
<'substance', 'causes', 'acquired abnormality'>
<'physiologic function', 'result of', 'natural phenomenon or process'>
<'organism function', 'result of', 'phenomenon or process'>
<'embryonic structure', 'part of', 'amphibian'>
<'body space or junction', 'location of', 'pathologic function'>
<'clinical drug', 'causes', 'congenital abnormality'>
<'laboratory or test result', 'issue in', 'occupation or discipline'>
<'finding', 'evaluation of', 'biologic function'>
<'disease or syndrome', 'affects', 'bacterium'>
<'neoplastic process', 'associated with', 'experimental model of disease'>
<'hormone', 'causes', 'injury or poisoning'>
<'manufactured object', 'causes', 'injury or poisoning'>
<'regulation or law', 'affects', 'family group'>
<'environmental effect of humans', 'result of', 'organism function'>
<'rickettsia or chlamydia', 'issue in', 'biomedical occupation or discipline'>
<'acquired abnormality', 'occurs in', 'population group'>
<'fungus', 'interacts with', 'reptile'>
<'experimental model of disease', 'affects', 'organism function'>
<'experimental model of disease', 'precedes', 'mental or behavioral dysfunction'>
<'biologically active substance', 'complicates', 'physiologic function'>
<'virus', 'issue in', 'occupation or discipline'>
<'pharmacologic substance', 'treats', 'disease or syndrome'>
<'mental process', 'process of', 'invertebrate'>
<'genetic function', 'process of', 'neoplastic process'>
<'cell function', 'produces', 'immunologic factor'>
<'amino acid sequence', 'isa', 'conceptual entity'>
<'plant', 'isa', 'entity'>
